City,Country,Inexpensive Meal,Midrange Meal For 2,McMeal,Domestic Beer (at restaurant),Imported Beer (at restaurant),Cappuccino (at restaurant),Soft Drink (at restaurant),Water (at restaurant),Milk (at Grocery),White Bread,Rice,Eggs,Cheese,Chicken,Beef,Apples,Bananas,Oranges,Tomato,Potato,Onion,Lettuce,Water (at Grocery),Wine (at Grocery),Domestic Beer (at Grocery),Imported Beer (at Grocery),data_quality,Avg_Fruit,Avg_Veg,City/Country
Tarragona,Spain,11.59,44.78,7.38,1.58,2.11,1.69,1.79,1.3,0.9,1.48,1.31,2.07,8.69,6.46,11.06,2.24,2.0,2.81,2.05,1.71,1.84,1.32,0.78,6.11,1.13,1.65,1,2.35,1.73,"Tarragona, Spain"
Sancti Spiritus,Cuba,7.0,25.0,5.0,3.0,2.0,,1.0,0.75,,,1.0,2.4,4.0,5.0,10.0,3.0,0.5,0.5,1.0,2.0,2.0,,1.0,13.0,,2.0,0,1.333333333,1.666666667,"Sancti Spiritus, Cuba"
Dipolog,Philippines,,,4.49,3.59,,2.69,0.27,0.45,,0.63,0.9,1.29,,3.14,,,1.44,,1.26,1.08,1.44,,,6.28,0.81,0.99,0,1.44,1.26,"Dipolog, Philippines"
Mojokerto,Indonesia,1.62,9.72,3.24,2.59,3.24,1.34,0.42,0.2,1.13,0.98,0.85,1.29,10.8,2.96,9.68,2.33,1.3,1.15,0.86,1.15,1.62,0.55,0.42,12.15,2.03,2.98,0,1.593333333,1.045,"Mojokerto, Indonesia"
Jyvaskyla,Finland,10.54,75.34,8.43,5.8,6.32,3.95,1.65,1.58,0.96,1.95,2.15,2.29,7.93,10.33,20.69,2.4,1.66,2.9,3.03,1.58,2.08,1.4,1.52,12.64,2.95,2.88,1,2.32,2.0225,"Jyvaskyla, Finland"
Dumaguete City,Philippines,2.15,13.01,3.95,0.9,2.33,2.21,0.51,0.45,1.52,1.13,0.86,1.64,6.25,4.5,5.72,1.94,1.67,2.15,1.44,1.38,2.81,2.48,0.54,7.18,1.16,1.85,0,1.92,2.0275,"Dumaguete City, Philippines"
Greeley,United States,12.99,75.0,9.4,4.99,7.0,4.75,2.56,2.02,0.87,3.49,2.45,3.17,12.78,13.23,15.76,6.06,1.57,4.73,5.03,3.49,2.86,1.59,2.0,15.0,2.74,3.34,0,4.12,3.2425,"Greeley, United States"
Atibaia,Brazil,6.71,22.99,7.86,1.63,2.87,1.53,0.89,0.51,0.77,1.05,0.96,1.74,5.75,3.35,7.66,1.34,0.72,1.05,1.15,0.86,0.98,0.48,0.54,7.09,1.09,2.3,0,1.036666667,0.8675,"Atibaia, Brazil"
Bankura,India,1.23,7.37,5.22,1.47,2.39,0.98,0.37,0.12,0.58,0.54,0.63,0.92,,2.46,7.98,1.84,0.52,1.35,0.49,0.37,0.31,0.12,0.31,7.98,,,0,1.236666667,0.3225,"Bankura, India"
Vila Franca de Xira,Portugal,9.48,28.45,6.32,2.63,2.48,1.97,1.69,1.2,0.74,1.33,1.28,2.67,8.98,3.16,10.89,1.95,1.3,1.51,2.03,1.22,1.24,1.25,0.81,4.21,1.05,2.07,0,1.586666667,1.435,"Vila Franca de Xira, Portugal"
Livingstone,Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"Livingstone, Zambia"
Dos Hermanas,Spain,8.43,,6.32,1.37,2.11,1.26,0.95,0.79,0.83,0.45,,2.63,26.34,4.21,4.21,2.11,2.11,2.11,3.16,3.16,2.11,0.84,0.79,4.74,,2.63,0,2.11,2.3175,"Dos Hermanas, Spain"
Carolina,Puerto Rico,15.0,70.0,7.5,2.5,4.0,2.88,1.3,1.15,1.65,2.99,2.87,2.99,7.72,7.17,9.7,3.68,1.97,4.12,5.84,2.14,2.14,2.67,1.47,13.5,1.79,4.0,0,3.256666667,3.1975,"Carolina, Puerto Rico"
Curico,Chile,5.09,33.96,5.09,1.7,2.26,1.7,0.79,0.57,1.02,0.79,0.79,2.04,7.92,5.09,10.19,0.68,0.91,0.68,0.68,1.13,1.13,0.79,1.13,4.53,1.7,2.83,0,0.756666667,0.9325,"Curico, Chile"
Maia,Portugal,7.38,32.67,6.82,2.11,2.11,0.95,1.23,0.9,0.78,1.62,1.29,2.08,8.25,7.9,11.94,1.86,1.07,1.52,1.82,1.05,1.64,1.57,0.35,4.48,1.28,2.79,0,1.483333333,1.52,"Maia, Portugal"
Santa Tecla,El Salvador,6.0,25.0,6.25,1.5,3.0,2.65,0.64,0.63,1.75,1.99,1.32,1.8,6.52,3.45,10.01,3.19,1.6,2.1,2.29,2.11,1.95,0.92,0.94,9.0,1.25,2.1,0,2.296666667,1.8175,"Santa Tecla, El Salvador"
's-Hertogenbosch,Netherlands,18.97,63.22,9.11,4.35,3.16,3.06,2.83,2.29,1.03,1.95,1.95,1.75,11.46,8.41,26.57,2.81,1.36,1.45,2.66,1.01,0.94,0.79,0.59,6.31,1.26,1.62,1,1.873333333,1.35,"'s-Hertogenbosch, Netherlands"
Amiens,France,15.81,63.22,12.12,6.32,3.16,3.34,2.11,1.58,0.79,1.5,1.32,2.31,9.48,12.18,18.3,1.84,1.79,2.63,2.21,1.85,2.11,1.05,0.21,7.38,1.21,1.44,0,2.086666667,1.805,"Amiens, France"
Targu-Mures,Romania,6.42,25.69,6.42,1.39,1.71,1.75,1.16,0.75,1.09,0.99,1.07,1.89,6.7,4.73,7.49,0.91,1.32,1.36,1.57,0.5,0.58,0.73,0.69,5.35,0.82,1.04,1,1.196666667,0.845,"Targu-Mures, Romania"
Salerno,Italy,13.7,63.22,8.74,4.11,4.21,1.52,1.58,1.37,1.21,1.16,1.9,1.78,11.59,8.43,12.54,1.05,2.11,1.58,1.84,1.74,1.55,1.23,0.3,3.16,3.16,2.42,0,1.58,1.59,"Salerno, Italy"
Tiraspol,Moldova,1.54,30.0,2.82,0.77,0.92,1.03,0.58,0.41,0.77,0.36,0.87,1.51,7.95,2.33,3.67,0.83,1.07,1.07,1.4,0.67,0.38,0.71,0.48,1.54,1.03,0.75,0,0.99,0.79,"Tiraspol, Moldova"
Tizi Ouzou,Algeria,1.63,14.47,2.17,1.19,1.45,0.3,0.39,0.17,0.52,0.53,1.04,1.18,4.61,3.77,8.56,2.51,2.31,1.2,0.57,0.44,0.4,0.32,0.24,5.79,1.19,1.59,0,2.006666667,0.4325,"Tizi Ouzou, Algeria"
Ksar El Kebir,Morocco,1.89,6.61,4.72,1.23,2.83,0.76,0.36,0.24,0.39,0.22,1.13,0.94,,2.03,6.61,0.38,0.71,0.47,0.47,0.47,0.38,0.19,0.57,6.61,2.27,3.49,0,0.52,0.3775,"Ksar El Kebir, Morocco"
Harlingen,United States,15.0,35.0,3.5,2.9,4.0,3.56,1.69,1.0,0.79,2.2,4.41,4.0,4.41,13.23,10.82,4.41,2.25,3.33,3.59,2.88,3.25,1.69,1.93,7.0,2.67,2.5,0,3.33,2.8525,"Harlingen, United States"
Jinotega,Nicaragua,3.63,16.2,4.19,1.25,1.82,1.17,0.65,0.55,0.83,0.7,1.39,1.76,4.92,5.45,8.29,2.78,2.2,2.43,1.83,1.81,1.52,0.76,0.83,7.81,,,0,2.47,1.48,"Jinotega, Nicaragua"
Las Cruces,United States,12.0,41.25,7.5,3.75,6.0,4.08,2.23,1.19,0.85,2.52,3.3,3.04,10.75,9.74,16.01,3.47,1.27,2.65,2.18,1.51,1.58,1.17,1.0,10.0,1.5,2.12,0,2.463333333,1.61,"Las Cruces, United States"
Toowoomba,Australia,13.59,61.16,8.15,3.74,5.27,3.13,2.24,1.6,1.11,1.71,1.89,2.88,5.86,6.97,11.33,2.9,2.27,2.48,3.96,1.95,1.88,2.39,1.87,10.19,2.94,3.91,0,2.55,2.545,"Toowoomba, Australia"
Termiz,Uzbekistan,4.0,12.0,2.5,0.6,0.9,1.2,0.4,0.25,0.76,0.29,1.42,1.56,3.79,3.7,6.81,0.81,2.05,1.5,0.58,0.62,0.24,0.4,0.29,1.3,0.6,1.2,0,1.453333333,0.46,"Termiz, Uzbekistan"
Brighton,United Kingdom,18.45,73.8,7.38,6.27,4.92,3.8,1.95,1.54,1.36,1.16,1.97,2.66,7.76,7.45,13.48,2.66,1.24,2.75,2.88,1.07,1.07,0.83,1.2,8.61,2.64,2.24,1,2.216666667,1.4625,"Brighton, United Kingdom"
Tauranga,New Zealand,19.88,83.38,7.7,5.77,5.45,3.03,1.79,2.29,1.87,2.08,2.26,4.0,7.16,8.46,11.55,2.56,2.11,2.89,2.21,2.24,1.71,2.46,1.51,9.62,2.66,3.37,1,2.52,2.155,"Tauranga, New Zealand"
Tobruk,Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"Tobruk, Libya"
Ashqelon,Israel,19.38,88.08,16.15,9.98,7.93,3.29,2.7,2.06,1.75,2.5,3.04,3.76,14.0,9.59,19.57,3.22,2.41,2.2,2.2,1.47,1.32,1.47,0.96,10.28,2.64,2.84,0,2.61,1.615,"Ashqelon, Israel"
Urganch,Uzbekistan,3.5,10.0,3.25,1.0,1.25,1.42,0.63,0.4,0.5,0.4,1.5,1.8,,,,,,,,,,,,,,,0,,,"Urganch, Uzbekistan"
Andimeshk,Iran,,,,,,,,,0.5,0.3,1.2,0.6,5.0,1.3,8.46,0.7,1.0,0.7,0.35,0.35,0.4,0.5,0.15,,0.25,1.0,0,0.8,0.4,"Andimeshk, Iran"
Mataro,Spain,12.59,52.69,8.17,3.16,2.63,1.88,2.11,1.49,0.72,2.03,,1.69,16.31,7.35,7.51,1.78,2.73,1.21,1.36,0.9,1.02,1.02,0.63,7.27,1.28,2.11,0,1.906666667,1.075,"Mataro, Spain"
Nakhon Ratchasima,Thailand,2.74,23.04,5.76,2.3,4.32,2.13,0.51,0.27,1.37,1.79,1.16,1.42,12.96,1.86,9.02,2.12,1.41,1.63,0.96,1.3,0.75,0.58,0.47,15.12,1.65,2.84,0,1.72,0.8975,"Nakhon Ratchasima, Thailand"
Laghouat,Algeria,1.08,10.85,3.07,1.63,1.08,0.22,0.34,0.14,0.6,0.08,0.72,1.19,5.06,2.21,8.97,2.17,3.06,1.27,0.54,0.49,0.22,0.58,0.22,3.62,1.45,0.9,0,2.166666667,0.4575,"Laghouat, Algeria"
Trois-Rivieres,Canada,12.23,63.0,7.41,4.08,6.67,2.41,1.67,1.28,1.53,2.74,5.6,2.63,19.14,12.83,10.02,2.49,2.13,4.81,3.7,2.09,4.07,2.48,1.53,11.86,2.52,2.7,0,3.143333333,3.085,"Trois-Rivieres, Canada"
May Pen,Jamaica,6.5,49.95,6.17,2.92,4.55,4.25,1.38,1.32,2.36,2.25,0.87,2.81,18.19,7.13,14.68,7.42,3.87,1.87,3.51,5.09,3.55,1.73,1.25,10.39,2.3,2.73,0,4.386666667,3.47,"May Pen, Jamaica"
Cartago,Colombia,1.68,10.49,3.15,0.52,,,,,,0.46,0.42,,1.26,1.36,2.73,1.68,0.63,0.63,1.05,0.42,0.73,0.52,0.73,8.39,0.66,0.84,0,0.98,0.68,"Cartago, Colombia"
Zabol,Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"Zabol, Iran"
Rehovot,Israel,17.62,73.4,13.21,8.81,7.63,3.78,2.86,2.4,1.75,1.7,2.74,3.73,17.73,11.08,22.95,3.48,2.82,2.31,2.26,1.52,1.34,1.83,1.06,14.68,2.52,4.11,1,2.87,1.7375,"Rehovot, Israel"
Hampton,United States,20.0,45.0,9.75,,9.0,5.42,2.19,1.8,1.09,3.47,7.41,3.43,11.0,6.76,13.12,5.55,2.62,3.14,3.79,3.26,3.16,1.79,1.49,8.0,5.0,4.0,0,3.77,3.0,"Hampton, United States"
Torrejon de Ardoz,Spain,10.54,52.69,7.9,2.37,2.9,1.83,2.42,1.58,0.79,0.74,0.74,1.9,10.27,6.38,11.59,1.82,1.32,1.16,1.74,1.0,1.05,0.9,0.42,5.8,0.9,2.11,0,1.433333333,1.1725,"Torrejon de Ardoz, Spain"
Bloomington,United States,15.0,60.0,7.0,4.75,5.0,3.91,2.08,1.6,0.77,2.33,3.45,2.15,12.25,11.41,11.5,4.24,1.43,2.91,3.88,2.09,1.73,1.54,1.47,12.99,1.43,2.0,0,2.86,2.31,"Bloomington, United States"
Batticaloa,Sri Lanka,1.63,8.81,4.2,0.95,1.76,0.27,0.27,0.14,0.76,0.25,0.41,1.15,6.07,1.9,4.07,1.8,0.6,1.75,0.54,1.0,0.81,0.68,0.27,6.78,1.08,1.76,0,1.383333333,0.7575,"Batticaloa, Sri Lanka"
Innsbruck,Austria,15.81,65.86,9.48,4.21,4.53,3.37,3.28,2.62,1.36,1.78,2.17,2.92,11.84,10.75,16.33,2.62,2.1,2.34,2.85,1.82,1.66,1.25,0.54,6.59,1.1,1.11,1,2.353333333,1.895,"Innsbruck, Austria"
Gyor,Hungary,5.14,25.71,5.14,1.16,1.92,1.36,1.36,1.0,0.62,0.64,1.0,1.74,5.57,4.01,7.53,1.13,1.12,1.35,2.56,0.79,0.81,1.07,0.3,3.85,0.69,0.8,1,1.2,1.3075,"Gyor, Hungary"
Warren,United States,10.0,50.0,5.0,4.0,5.0,2.5,2.0,1.88,0.94,2.2,2.26,2.17,6.24,8.82,19.84,3.81,1.15,2.04,2.32,2.41,2.62,1.19,1.0,10.0,1.43,1.1,0,2.333333333,2.135,"Warren, United States"
Yakima,United States,15.0,65.0,9.0,5.0,6.5,4.82,1.6,1.83,0.78,2.0,3.34,2.93,7.72,13.29,14.88,2.93,1.64,3.04,4.36,1.16,1.38,1.5,1.75,15.0,1.84,4.19,0,2.536666667,2.1,"Yakima, United States"
Battambang,Cambodia,2.5,16.0,5.75,0.75,2.75,2.33,0.83,0.5,2.21,1.75,1.08,1.85,12.86,5.42,9.74,3.5,1.41,2.93,1.41,1.38,1.0,1.49,0.81,11.0,0.98,1.67,0,2.613333333,1.32,"Battambang, Cambodia"
Coral Springs,United States,23.5,82.5,8.0,7.0,8.0,4.78,2.46,1.93,1.13,2.07,5.07,3.0,10.1,11.02,15.02,3.46,1.6,3.31,5.51,2.41,3.31,2.0,1.75,15.0,1.79,2.33,0,2.79,3.3075,"Coral Springs, United States"
Matagalpa,Nicaragua,4.0,25.0,4.3,0.86,1.72,1.43,0.95,0.47,0.95,0.87,1.0,1.8,2.47,2.84,4.11,4.25,0.5,,1.01,1.12,1.59,0.78,0.76,2.58,0.86,1.33,0,2.375,1.125,"Matagalpa, Nicaragua"
Jijel,Algeria,1.99,9.4,1.81,1.45,2.17,0.52,0.48,0.19,0.72,0.16,1.01,1.74,5.3,3.98,11.57,1.75,2.41,0.95,0.63,0.55,0.34,0.38,0.24,7.23,1.08,1.48,0,1.703333333,0.475,"Jijel, Algeria"
Round Rock,United States,15.0,50.5,8.0,7.0,8.0,4.88,1.58,1.71,0.92,2.2,2.01,3.0,8.14,13.23,8.82,3.93,1.18,3.7,4.92,2.29,2.37,1.68,1.27,12.5,2.03,2.79,0,2.936666667,2.815,"Round Rock, United States"
Limoges,France,13.17,59.01,10.27,5.69,5.27,2.32,3.51,2.11,0.84,2.09,2.25,2.95,10.43,7.32,18.39,3.16,1.79,2.32,3.58,1.58,2.15,1.55,0.52,10.01,2.11,,0,2.423333333,2.215,"Limoges, France"
Sinop,Brazil,3.83,28.74,5.75,2.87,3.83,1.53,0.96,0.57,1.39,1.15,1.53,2.3,9.58,3.26,9.39,1.15,1.34,1.34,1.34,0.86,0.96,0.57,0.57,9.58,,5.56,0,1.276666667,0.9325,"Sinop, Brazil"
Ferrara,Italy,13.7,63.22,8.43,5.27,3.69,1.49,2.32,1.11,1.4,2.05,1.62,3.46,10.52,6.32,15.81,1.58,1.58,1.84,3.26,1.29,1.05,0.79,0.42,4.74,1.26,2.37,0,1.666666667,1.5975,"Ferrara, Italy"
Stavanger,Norway,20.04,92.48,14.39,10.79,11.05,4.82,2.88,2.65,2.06,2.91,2.69,3.61,11.39,13.54,29.5,3.29,2.28,3.48,3.54,2.18,3.01,2.26,2.53,13.87,3.82,5.55,1,3.016666667,2.7475,"Stavanger, Norway"
Guelph,Canada,14.08,74.11,7.41,4.08,5.37,3.41,1.54,1.35,1.62,2.53,3.36,3.6,20.38,10.19,15.13,2.98,1.19,3.89,2.97,1.94,3.06,2.62,2.03,12.23,2.36,2.32,1,2.686666667,2.6475,"Guelph, Canada"
Jaramana,Syria,2.99,10.0,4.04,1.0,2.0,0.94,0.73,0.41,0.75,0.75,1.46,1.48,3.97,2.66,7.27,0.45,0.9,0.2,0.52,0.2,0.25,0.2,0.51,3.0,0.92,1.05,0,0.516666667,0.2925,"Jaramana, Syria"
Rijeka,Croatia,10.12,34.9,6.28,2.65,2.79,1.56,2.35,1.59,0.95,1.05,1.72,2.44,9.57,8.77,10.38,1.38,1.4,1.54,1.97,1.0,0.82,1.05,0.95,6.28,1.32,1.61,1,1.44,1.21,"Rijeka, Croatia"
Kent,United States,13.0,57.5,7.0,5.0,7.0,5.0,1.25,1.0,0.79,,2.51,,11.0,,,3.28,1.09,2.85,5.49,3.62,3.06,1.84,1.62,15.0,,,0,2.406666667,3.5025,"Kent, United States"
Sterling Heights,United States,15.0,60.0,8.32,4.5,6.0,4.69,2.05,1.61,0.88,2.57,3.41,2.67,12.62,12.13,11.02,4.35,1.62,4.13,3.66,3.17,3.04,1.46,1.88,12.0,1.86,2.54,0,3.366666667,2.8325,"Sterling Heights, United States"
Buea,Cameroon,1.61,11.24,2.01,1.08,1.61,1.49,0.83,0.37,1.95,0.48,0.72,1.82,,3.21,3.53,1.61,0.91,1.04,1.04,0.96,0.8,0.32,0.62,4.02,0.96,1.29,0,1.186666667,0.78,"Buea, Cameroon"
Burlington,United States,12.0,60.0,8.0,4.0,4.5,4.12,2.0,1.62,0.91,2.55,7.71,2.53,13.22,9.55,14.21,5.32,1.38,7.34,4.67,4.04,6.83,1.75,2.67,10.0,1.21,3.0,0,4.68,4.3225,"Burlington, United States"
Spanish Town,Jamaica,6.5,45.47,6.17,1.95,3.25,3.49,1.02,0.7,2.36,2.73,0.87,2.9,13.42,5.77,6.01,4.22,2.72,1.87,2.41,2.02,2.22,1.93,1.07,10.39,2.15,2.6,0,2.936666667,2.145,"Spanish Town, Jamaica"
Narita,Japan,5.96,18.61,5.03,2.61,3.72,3.47,1.38,1.01,1.34,0.97,,,,,,,,,,,,,,,,,0,,,"Narita, Japan"
Bellingham,United States,15.0,53.5,8.5,5.5,4.85,4.98,2.6,1.71,1.45,3.31,8.0,4.25,15.93,18.52,11.02,5.38,1.76,3.74,4.76,3.15,3.52,1.64,1.65,11.0,1.43,2.08,0,3.626666667,3.2675,"Bellingham, United States"
Kayseri,Turkey,5.37,10.73,3.35,1.88,1.72,1.58,0.55,0.18,0.75,0.35,1.66,1.21,5.15,3.81,8.87,0.68,1.13,0.68,1.12,0.49,0.48,0.73,0.32,5.37,1.64,1.83,1,0.83,0.705,"Kayseri, Turkey"
Tychy,Poland,6.2,31.55,4.85,2.25,1.8,2.42,1.13,1.05,0.61,0.9,0.7,2.16,4.73,3.91,6.76,0.73,1.0,1.01,2.55,0.34,0.45,0.79,0.49,4.06,0.72,1.07,0,0.913333333,1.0325,"Tychy, Poland"
Leiden,Netherlands,15.81,63.22,10.54,5.27,4.21,3.16,2.46,2.23,1.07,2.01,1.6,2.18,11.76,8.54,27.49,2.81,1.36,1.46,2.69,1.12,0.94,0.85,0.66,6.31,1.26,1.87,1,1.876666667,1.4,"Leiden, Netherlands"
Cholula de Rivadabia,Mexico,,,,,,,,,1.29,1.8,1.55,1.55,5.16,5.05,8.25,3.61,0.88,0.62,1.03,1.13,0.88,0.62,0.67,11.35,0.77,0.93,0,1.703333333,0.915,"Cholula de Rivadabia, Mexico"
Pouso Alegre,Brazil,4.02,14.37,3.74,0.81,1.92,1.34,1.01,0.72,0.9,1.34,0.77,1.92,12.45,3.45,8.62,1.05,1.05,0.86,1.53,0.88,1.07,0.48,0.57,6.23,1.09,1.44,0,0.986666667,0.99,"Pouso Alegre, Brazil"
Kislovodsk,Russia,18.4,30.4,8.0,1.28,1.92,1.36,1.12,0.44,1.12,0.48,1.12,1.34,4.8,4.27,6.4,0.8,1.28,1.2,1.6,0.48,0.48,1.48,0.4,4.8,0.8,1.28,0,1.093333333,1.01,"Kislovodsk, Russia"
Udon Thani,Thailand,1.73,17.28,5.18,1.73,2.3,2.02,0.91,0.29,1.39,1.03,1.03,1.52,20.33,2.19,8.64,2.15,0.96,1.44,1.65,1.27,0.97,0.79,0.52,17.28,1.78,2.98,0,1.516666667,1.17,"Udon Thani, Thailand"
Stamford,United States,22.0,90.0,8.25,6.0,8.0,4.61,2.25,2.09,1.01,3.67,8.08,3.0,16.53,22.05,13.81,5.47,2.27,4.48,6.09,4.59,5.92,2.28,2.87,12.37,5.71,2.75,0,4.073333333,4.72,"Stamford, United States"
Hanumangarh,India,,,,,,,,,0.74,0.43,0.74,1.47,,,,1.23,0.61,,,0.31,,,,,,,0,0.92,0.31,"Hanumangarh, India"
Annecy,France,15.81,126.45,9.17,9.48,5.01,3.54,2.85,2.37,1.05,1.14,2.03,3.28,16.82,14.96,22.39,4.08,3.69,3.95,4.19,2.08,2.66,1.12,2.81,11.06,1.84,3.95,1,3.906666667,2.5125,"Annecy, France"
Cambridge,Canada,15.56,61.14,9.63,5.0,4.71,3.11,1.47,1.15,1.95,2.32,2.08,2.7,7.04,10.01,9.09,1.85,0.87,1.41,4.06,2.17,1.53,1.68,1.59,10.47,2.31,2.57,0,1.376666667,2.36,"Cambridge, Canada"
Esteli,Nicaragua,2.75,25.5,7.15,1.15,2.0,2.63,0.65,0.5,1.0,0.87,1.0,1.8,3.46,4.26,6.86,4.25,0.75,,1.27,1.87,1.59,0.93,1.0,10.0,1.3,1.33,0,2.5,1.415,"Esteli, Nicaragua"
Vasteras,Sweden,11.38,79.89,8.09,7.02,7.02,4.77,2.08,1.96,0.98,2.01,2.42,3.37,8.33,8.81,16.68,2.87,2.23,2.26,4.97,1.65,1.61,2.91,1.94,9.2,1.78,2.18,1,2.453333333,2.785,"Vasteras, Sweden"
Villa Alemana,Chile,6.79,29.99,6.23,1.7,2.26,1.7,1.36,0.96,0.99,1.13,1.13,2.81,7.89,4.9,7.55,1.66,1.32,1.58,1.28,0.75,1.06,0.87,1.02,3.96,1.02,2.45,0,1.52,0.99,"Villa Alemana, Chile"
Serpukhov,Russia,11.2,48.0,4.4,1.12,4.0,2.4,1.04,0.81,1.2,0.71,1.6,1.63,22.42,2.88,12.8,1.76,1.3,1.92,2.08,0.51,0.56,2.4,0.45,6.4,,,0,1.66,1.3875,"Serpukhov, Russia"
Wurzburg,Germany,11.58,52.69,8.95,3.69,3.16,2.82,2.11,1.96,1.08,1.85,1.94,2.53,12.75,7.29,14.05,2.46,1.72,2.13,1.15,2.11,1.26,1.76,0.73,5.27,0.78,1.37,1,2.103333333,1.57,"Wurzburg, Germany"
Araras,Brazil,7.66,25.87,4.69,0.77,1.53,1.05,0.53,0.27,0.88,1.85,0.77,1.41,8.62,4.12,7.54,1.09,0.61,0.64,1.63,0.7,0.64,0.57,0.51,5.75,0.86,2.3,0,0.78,0.885,"Araras, Brazil"
Jaranwala,Pakistan,1.68,10.06,2.48,0.61,2.01,1.34,0.22,0.17,0.55,0.47,0.7,0.97,6.2,1.87,4.58,1.05,0.43,0.56,0.34,0.29,0.25,0.39,0.29,1.92,1.86,1.81,0,0.68,0.3175,"Jaranwala, Pakistan"
Koforidua,Ghana,2.5,10.0,3.57,0.43,0.57,0.36,0.21,0.14,1.12,0.68,0.86,1.11,5.0,2.86,3.21,1.6,0.64,0.68,0.86,1.67,1.12,0.64,0.68,2.86,0.6,0.79,0,0.973333333,1.0725,"Koforidua, Ghana"
Salto,Uruguay,8.96,17.91,6.4,2.56,3.07,2.56,2.05,0.77,0.77,0.8,0.9,1.47,4.48,7.68,10.23,2.05,2.56,2.05,2.3,1.54,1.28,0.51,1.15,3.07,2.3,2.05,0,2.22,1.4075,"Salto, Uruguay"
Ban Bang Pu Mai,Thailand,1.15,,4.32,1.44,2.88,1.15,0.43,0.14,1.25,1.09,0.58,1.04,14.4,1.44,5.76,2.88,0.58,1.15,0.4,0.86,0.81,0.58,0.44,8.64,0.92,1.73,0,1.536666667,0.6625,"Ban Bang Pu Mai, Thailand"
Drohobych,Ukraine,4.9,15.64,2.86,0.82,1.22,0.75,0.48,0.37,0.75,0.42,0.75,1.04,4.08,2.99,4.22,0.37,0.78,0.82,0.75,0.38,0.37,0.61,0.35,2.58,0.72,1.13,0,0.656666667,0.5275,"Drohobych, Ukraine"
Whitby,Canada,12.97,63.66,8.89,3.71,5.19,3.08,1.54,1.04,2.32,2.02,3.26,2.6,14.82,8.32,11.12,3.06,1.28,3.71,2.65,2.22,2.22,1.9,1.61,11.12,2.22,3.71,0,2.683333333,2.2475,"Whitby, Canada"
Sakaka,Saudi Arabia,5.32,26.6,7.98,1.86,1.6,3.72,0.67,0.33,1.2,0.27,1.86,4.79,3.19,6.65,11.97,1.06,1.06,1.06,1.06,0.8,0.53,0.53,0.53,1.86,1.33,2.66,0,1.06,0.73,"Sakaka, Saudi Arabia"
Pinsk,Belarus,9.9,47.5,5.15,1.32,1.98,1.76,0.82,0.51,0.81,0.63,1.47,1.44,7.08,4.26,8.02,1.57,2.04,1.92,2.86,0.83,0.8,1.58,0.67,7.92,1.11,2.05,0,1.843333333,1.5175,"Pinsk, Belarus"
Zoetermeer,Netherlands,15.81,57.96,8.69,5.27,2.53,2.98,1.65,1.37,1.05,1.38,1.96,2.47,11.12,9.01,12.54,2.15,1.42,1.49,2.27,1.16,0.9,0.84,0.91,5.08,1.27,1.81,0,1.686666667,1.2925,"Zoetermeer, Netherlands"
Domodedovo,Russia,8.0,35.2,5.6,1.12,3.2,1.96,0.64,0.45,1.23,0.57,1.71,0.7,9.9,4.0,7.2,1.5,1.28,1.52,2.08,0.87,0.48,1.12,0.72,8.0,0.99,2.3,0,1.433333333,1.1375,"Domodedovo, Russia"
Orebro,Sweden,9.68,67.79,7.75,7.75,6.78,3.23,1.49,1.71,1.0,2.16,1.55,3.02,19.05,9.68,23.24,3.15,2.03,3.87,2.95,1.38,1.69,2.61,1.23,7.75,1.79,2.42,0,3.016666667,2.1575,"Orebro, Sweden"
Ulm,Germany,12.64,57.96,8.96,4.06,3.69,3.42,3.16,2.4,1.13,2.63,2.29,2.71,13.07,9.96,9.48,2.49,1.68,2.1,0.86,1.21,0.94,0.95,0.45,5.26,0.61,1.52,1,2.09,0.99,"Ulm, Germany"
Heilbronn,Germany,11.58,52.69,8.95,3.69,4.21,3.35,2.11,1.96,0.99,1.85,1.91,2.53,12.75,7.29,14.05,2.63,1.72,2.1,0.83,1.32,0.94,1.05,0.47,5.27,0.56,1.0,0,2.15,1.035,"Heilbronn, Germany"
Monza,Italy,17.39,79.56,10.01,5.27,4.74,1.55,2.11,1.39,1.38,2.05,2.48,2.81,13.28,9.17,17.9,2.25,1.51,1.89,2.48,1.08,1.53,1.02,0.55,5.74,1.71,2.34,1,1.883333333,1.5275,"Monza, Italy"
Bajos de Haina,Dominican Republic,9.14,36.56,7.13,2.74,4.57,2.23,0.84,0.55,1.24,1.4,1.25,2.22,7.03,5.09,8.75,2.81,0.64,2.21,1.18,1.55,2.29,0.78,1.01,8.23,2.35,3.1,0,1.886666667,1.45,"Bajos de Haina, Dominican Republic"
Johnson City,United States,15.0,50.0,7.0,4.0,5.0,4.25,2.08,1.55,0.94,2.83,3.96,2.33,12.13,10.45,14.86,4.09,1.28,5.62,4.6,2.04,2.89,1.81,1.66,22.0,1.79,2.5,0,3.663333333,2.835,"Johnson City, United States"
