City,Country,Inexpensive Meal,Midrange Meal For 2,McMeal,Domestic Beer (at restaurant),Imported Beer (at restaurant),Cappuccino (at restaurant),Soft Drink (at restaurant),Water (at restaurant),Milk (at Grocery),White Bread,Rice,Eggs,Cheese,Chicken,Beef,Apples,Bananas,Oranges,Tomato,Potato,Onion,Lettuce,Water (at Grocery),Wine (at Grocery),Domestic Beer (at Grocery),Imported Beer (at Grocery),City/Country,Avg_Fruit,Avg_Veg,year,data_quality
Celje,Slovenia,10.39,43.63,6.23,2.6,2.75,1.64,2.2,1.64,1.0,1.58,1.43,2.47,10.39,8.14,8.48,1.52,1.24,1.14,2.21,0.62,0.98,1.38,0.88,4.41,1.2,2.41,"Celje, Slovenia",1.2999999999999998,1.2974999999999999,2021,
Tromso,Norway,18.1,99.98,13.07,10.05,9.3,3.94,2.73,2.33,1.84,2.45,2.51,3.23,10.52,13.9,28.7,3.0,2.17,3.09,4.07,2.36,2.51,2.36,1.41,15.08,2.84,4.35,"Tromso, Norway",2.7533333333333334,2.8249999999999997,2021,
Kranj,Slovenia,7.79,37.39,5.19,2.54,2.6,1.52,1.92,1.43,1.01,1.14,1.63,2.29,13.76,9.22,11.77,1.45,1.24,1.87,1.9,1.11,0.93,0.99,0.52,5.19,1.13,1.69,"Kranj, Slovenia",1.5200000000000002,1.2325,2021,
Paphos,Cyprus,12.46,44.14,7.27,2.7,3.12,3.12,1.78,0.82,1.61,1.4,1.81,2.82,9.24,7.11,8.46,2.0,1.29,1.38,1.97,0.73,0.75,0.53,0.71,6.47,1.06,1.74,"Paphos, Cyprus",1.5566666666666666,0.9950000000000001,2021,
Aventura,United States,18.5,75.0,9.0,6.5,7.5,4.75,2.5,1.66,1.16,4.4,6.67,3.74,13.21,15.97,14.53,4.81,1.59,3.29,5.77,2.92,3.14,2.29,2.16,13.99,2.73,2.81,"Aventura, United States",3.23,3.5300000000000002,2021,
Neuchatel,Switzerland,19.02,89.83,13.74,6.34,4.23,4.32,4.09,3.43,1.59,3.17,2.78,5.31,20.78,23.78,43.59,6.69,3.91,2.47,4.4,2.47,3.1,2.29,1.62,10.57,1.87,2.47,"Neuchatel, Switzerland",4.356666666666667,3.0650000000000004,2021,
Zug,Switzerland,31.7,126.81,15.32,6.6,6.34,5.65,4.98,3.96,1.72,3.32,3.13,5.94,23.99,19.04,49.93,3.89,3.01,5.39,4.5,3.12,2.42,3.42,1.02,12.95,2.01,2.11,"Zug, Switzerland",4.096666666666667,3.3649999999999998,2021,
Subotica,Serbia,5.31,17.7,5.75,1.68,2.04,1.47,1.13,0.86,0.94,0.58,1.13,1.81,9.7,6.61,8.41,0.82,1.37,1.26,1.11,0.66,0.53,0.49,0.48,3.81,0.83,1.17,"Subotica, Serbia",1.1500000000000001,0.6975,2021,
Sliema,Malta,15.58,77.9,8.83,4.15,4.15,2.53,2.24,1.56,1.09,1.13,3.08,3.19,9.48,8.76,17.75,3.0,2.27,3.12,2.45,1.78,1.8,1.49,1.1,7.27,1.94,2.64,"Sliema, Malta",2.796666666666667,1.8800000000000001,2021,
Heredia,Costa Rica,6.56,37.71,7.13,1.98,3.12,2.21,1.48,1.23,1.16,1.11,1.02,2.25,6.38,7.2,8.69,3.05,1.01,2.64,1.4,1.55,1.73,0.77,1.94,11.48,1.82,2.22,"Heredia, Costa Rica",2.233333333333333,1.3624999999999998,2021,
Palm Springs,United States,20.0,75.0,9.76,5.0,9.0,4.54,2.1,1.38,1.17,4.13,3.12,4.16,10.39,16.52,20.93,4.41,1.97,3.95,5.71,2.77,3.15,1.55,1.4,10.38,1.7,2.27,"Palm Springs, United States",3.4433333333333334,3.2950000000000004,2021,
Canakkale,Turkey,2.41,10.73,3.54,1.88,2.28,1.17,0.61,0.28,0.65,0.47,1.06,1.49,4.78,3.84,7.21,0.67,1.09,0.75,1.07,0.46,0.38,0.6,0.19,4.56,1.45,1.66,"Canakkale, Turkey",0.8366666666666668,0.6275000000000001,2021,
Blue Island,United States,25.0,100.0,11.0,6.0,7.5,5.0,2.33,1.81,1.1,3.85,4.83,3.5,18.46,16.41,14.68,6.2,2.03,6.14,5.51,2.86,5.82,3.0,2.75,20.0,4.29,4.75,"Blue Island, United States",4.79,4.297499999999999,2021,
Arese,Italy,15.58,62.32,8.31,5.19,4.15,1.71,2.99,1.17,1.17,2.21,2.6,2.27,15.58,8.31,17.31,1.69,1.9,2.18,2.08,1.56,1.73,1.21,0.29,4.15,1.73,2.58,"Arese, Italy",1.9233333333333331,1.645,2021,
Wexford,Ireland,15.58,101.27,9.35,4.88,4.67,3.58,1.62,1.04,1.37,1.45,1.71,2.08,7.14,6.23,12.08,2.47,3.42,2.49,2.91,1.35,1.31,1.26,1.73,10.39,2.11,2.74,"Wexford, Ireland",2.7933333333333334,1.7075,2021,
Budva,Montenegro,8.31,41.55,5.19,2.6,2.6,1.98,2.25,1.82,1.01,0.64,1.42,2.21,6.66,5.26,7.84,0.88,1.35,1.04,1.3,0.61,0.56,0.75,0.65,5.19,0.81,1.45,"Budva, Montenegro",1.09,0.805,2021,
Leeuwarden,Netherlands,15.58,62.32,8.05,4.93,3.64,3.14,2.98,1.69,1.04,1.97,2.07,2.03,11.43,8.29,26.05,2.59,1.34,1.41,2.63,1.0,0.92,0.78,0.69,6.22,1.23,1.6,"Leeuwarden, Netherlands",1.78,1.3325,2021,
Southwick,United Kingdom,10.81,51.05,7.21,6.01,6.01,3.16,1.56,1.7,1.26,1.04,0.54,2.62,5.66,6.31,12.61,2.37,1.05,2.5,4.54,1.1,0.99,0.81,1.16,8.41,1.41,1.38,"Southwick, United Kingdom",1.9733333333333334,1.8600000000000003,2021,
Gzira,Malta,18.7,80.5,9.35,3.12,3.12,2.64,2.08,1.71,1.26,1.67,2.59,2.99,10.11,9.05,15.93,3.3,2.08,3.19,3.38,2.82,3.18,2.08,1.04,10.39,1.91,2.97,"Gzira, Malta",2.856666666666667,2.8649999999999998,2021,
Hargeysa,Somalia,5.0,20.0,5.5,9.0,10.0,1.06,0.5,0.35,1.45,1.28,1.62,2.7,4.5,4.83,8.0,5.3,1.83,3.24,0.93,1.06,1.07,0.8,0.72,31.5,0.5,,"Hargeysa, Somalia",3.456666666666667,0.9650000000000001,2021,
Udine,Italy,12.46,65.44,8.83,4.93,3.9,1.49,2.94,1.45,1.24,1.96,1.69,2.53,9.0,6.1,14.28,1.4,1.33,2.44,2.6,0.96,1.14,0.83,0.45,5.19,1.2,1.74,"Udine, Italy",1.7233333333333334,1.3825,2021,
Ballarat,Australia,10.06,83.83,9.93,4.69,5.03,2.91,2.32,1.95,0.94,1.46,1.16,2.73,6.44,8.03,13.08,2.93,3.89,2.8,5.01,1.96,2.05,1.66,2.79,6.71,4.44,4.81,"Ballarat, Australia",3.206666666666667,2.67,2021,
Lecce,Italy,15.58,51.93,8.31,4.15,3.53,1.38,1.73,0.98,1.02,1.71,1.3,3.27,14.8,7.62,18.44,1.92,1.27,1.63,1.84,1.17,1.82,1.17,0.25,4.15,1.48,2.21,"Lecce, Italy",1.6066666666666667,1.5,2021,
Hadera,Israel,16.02,116.52,14.57,8.74,7.72,3.35,2.62,2.04,1.69,2.04,2.33,4.03,10.78,10.92,18.93,2.78,2.15,1.6,1.46,1.19,1.04,1.94,1.07,11.65,2.4,2.91,"Hadera, Israel",2.1766666666666663,1.4075,2021,
Bedford,United Kingdom,20.42,60.06,6.61,5.41,4.5,3.38,1.96,1.2,1.11,1.27,2.18,1.65,7.66,6.61,12.34,4.55,1.46,3.08,1.66,2.46,1.99,0.83,1.11,9.61,2.51,2.4,"Bedford, United Kingdom",3.03,1.735,2021,
Missoula,United States,20.0,70.0,9.5,4.75,5.0,4.5,2.02,1.71,1.02,2.95,4.12,3.25,16.17,11.01,17.01,5.1,1.58,3.93,5.38,1.92,2.08,1.99,1.86,11.0,2.75,2.69,"Missoula, United States",3.5366666666666666,2.8425,2021,
Lethbridge,Canada,16.75,57.7,8.75,4.84,5.96,3.37,1.78,1.48,1.52,2.54,5.9,3.76,16.35,9.84,17.56,5.14,2.47,4.33,4.8,2.19,4.1,2.83,2.12,11.17,2.61,3.78,"Lethbridge, Canada",3.98,3.48,2021,
Nanaimo,Canada,14.33,65.15,9.68,5.58,5.96,3.08,1.77,1.58,2.29,2.42,2.5,3.74,11.91,13.98,15.29,4.2,1.35,3.82,4.16,2.83,2.92,2.54,1.68,13.4,3.1,3.54,"Nanaimo, Canada",3.1233333333333335,3.1125,2021,
Pisa,Italy,12.46,62.32,7.79,5.19,5.19,1.47,2.86,1.14,1.22,1.64,1.87,3.49,16.88,8.93,16.1,2.06,1.51,2.18,2.97,2.08,2.22,1.42,0.37,8.31,1.48,2.42,"Pisa, Italy",1.9166666666666667,2.1725000000000003,2021,
Hilversum,Netherlands,18.7,72.71,9.19,4.15,4.1,3.11,3.12,2.53,1.04,1.97,2.08,2.04,11.6,8.29,28.55,2.8,1.33,1.47,2.63,1.08,0.93,0.8,0.62,6.22,1.24,1.76,"Hilversum, Netherlands",1.8666666666666665,1.3599999999999999,2021,
Sudbury,Canada,14.89,59.56,8.93,3.91,5.58,2.79,1.92,1.45,2.09,2.05,2.49,2.5,5.51,9.8,12.91,2.1,1.64,4.0,4.0,1.71,2.79,1.9,1.4,11.17,2.31,4.09,"Sudbury, Canada",2.58,2.6,2021,
Fort Myers,United States,15.0,75.0,8.0,5.0,5.0,3.97,2.07,1.67,1.18,3.35,4.26,3.75,8.67,15.43,16.89,5.46,1.8,5.13,3.38,2.46,2.65,2.25,1.52,12.0,2.66,3.81,"Fort Myers, United States",4.13,2.685,2021,
Treviso,Italy,15.58,72.71,8.31,5.45,4.15,1.53,2.4,1.19,1.27,2.01,2.01,3.58,13.33,9.35,18.0,1.68,1.81,2.12,2.84,1.2,1.43,0.96,0.58,6.23,1.47,1.91,"Treviso, Italy",1.87,1.6075,2021,
North Vancouver,Canada,18.61,74.45,8.93,5.21,6.7,3.54,1.7,1.71,1.75,2.84,2.98,3.72,18.61,8.07,16.41,3.64,1.81,3.67,2.33,2.23,2.25,2.35,1.89,14.15,2.56,3.53,"North Vancouver, Canada",3.0400000000000005,2.29,2021,
Torrevieja,Spain,12.46,51.93,8.31,2.34,2.6,1.8,1.5,1.35,0.93,1.36,1.25,2.21,9.02,6.82,8.93,2.47,1.5,1.61,1.56,1.37,1.23,0.91,0.65,5.19,0.53,1.76,"Torrevieja, Spain",1.86,1.2675,2021,
Peterborough,Canada,14.89,48.39,10.24,4.84,5.96,3.13,1.8,2.05,2.01,2.61,4.53,2.38,11.53,8.58,24.48,3.31,1.68,3.07,3.02,3.16,2.9,2.1,1.83,11.54,2.59,4.01,"Peterborough, Canada",2.686666666666667,2.795,2021,
Guildford,United Kingdom,18.02,72.07,7.21,5.71,3.6,3.55,1.7,1.51,1.46,1.75,1.88,3.06,12.7,7.68,13.73,3.01,2.01,2.93,3.37,1.21,1.33,0.71,0.74,8.41,2.48,2.35,"Guildford, United Kingdom",2.65,1.655,2021,
Prince George,Canada,15.64,59.56,7.45,4.37,5.58,3.28,1.96,1.69,2.09,2.28,3.32,3.59,7.83,8.99,17.3,4.07,1.05,3.63,2.61,3.97,3.29,2.73,2.6,14.15,2.98,2.98,"Prince George, Canada",2.9166666666666665,3.1500000000000004,2021,
Sault Ste. Marie,Canada,14.89,52.12,9.67,4.09,5.58,3.35,1.77,1.46,1.93,2.12,3.72,2.31,8.31,8.25,12.29,3.25,0.95,3.75,3.01,1.65,1.03,2.37,1.66,11.17,3.15,2.48,"Sault Ste. Marie, Canada",2.65,2.015,2021,
Pavia,Italy,12.46,51.93,8.83,5.19,3.12,1.32,2.29,0.95,1.3,1.93,2.37,3.43,15.45,9.61,13.85,2.11,2.09,2.35,3.28,1.34,1.28,1.33,0.36,4.67,1.22,1.59,"Pavia, Italy",2.183333333333333,1.8075,2021,
Sarnia,Canada,16.75,59.56,9.31,4.09,4.47,2.42,1.8,1.3,2.93,2.16,4.11,3.06,19.75,14.3,15.89,3.41,1.72,3.53,2.57,2.84,2.59,2.7,1.58,10.05,2.15,3.66,"Sarnia, Canada",2.8866666666666667,2.675,2021,
Daytona Beach,United States,13.0,60.0,8.0,4.5,6.0,4.73,2.07,1.41,1.0,3.26,3.29,3.07,11.57,11.85,14.79,5.47,2.03,4.59,4.05,2.41,2.85,1.66,1.63,9.0,2.19,2.31,"Daytona Beach, United States",4.03,2.7425,2021,
Lugano,Switzerland,31.7,105.68,15.85,6.34,5.28,3.93,3.96,3.57,1.56,3.03,3.83,6.24,24.83,20.61,56.19,3.43,2.27,3.26,4.52,2.38,2.18,2.27,1.16,15.85,1.8,2.78,"Lugano, Switzerland",2.986666666666667,2.8375,2021,
Woking,United Kingdom,24.02,57.06,6.01,4.2,6.01,3.8,2.06,1.65,1.66,1.18,2.34,2.52,6.83,6.96,13.33,2.5,1.61,2.55,2.88,1.42,1.88,0.93,1.54,9.61,2.79,3.15,"Woking, United Kingdom",2.22,1.7774999999999999,2021,
Hua Hin,Thailand,2.81,28.09,5.62,1.9,2.74,1.76,0.55,0.32,1.29,1.36,0.91,1.51,11.24,2.5,10.68,2.27,0.8,1.66,1.33,1.19,0.76,0.7,0.45,14.05,1.51,2.06,"Hua Hin, Thailand",1.5766666666666669,0.9950000000000001,2021,
Fredericton,Canada,18.61,59.56,8.93,4.65,5.96,3.37,1.6,1.37,2.11,2.48,5.39,2.76,14.61,11.79,13.2,4.87,1.43,3.54,4.25,2.01,2.33,2.29,1.43,11.54,2.95,3.23,"Fredericton, Canada",3.28,2.7199999999999998,2021,
Pula,Croatia,7.91,30.95,5.78,3.1,2.75,1.51,2.2,1.49,1.0,1.01,2.89,2.56,12.38,14.89,17.04,1.38,1.71,1.65,1.7,0.96,0.83,1.1,1.14,5.5,1.22,1.75,"Pula, Croatia",1.58,1.1475,2021,
Xanthi,Greece,12.46,37.39,6.23,4.41,4.41,2.86,2.04,0.65,1.2,0.96,1.33,2.99,9.21,6.68,9.35,1.61,1.51,1.22,1.75,0.81,0.99,0.7,0.78,7.27,1.08,1.76,"Xanthi, Greece",1.4466666666666665,1.0625,2021,
Portimao,Portugal,8.31,44.14,6.75,1.56,2.08,1.66,1.59,1.07,0.71,1.08,1.04,2.19,5.48,4.55,7.01,1.69,1.07,1.27,1.84,0.86,0.97,0.59,0.59,4.15,1.07,1.4,"Portimao, Portugal",1.343333333333333,1.065,2021,
Canterbury,United Kingdom,15.01,66.06,6.59,6.01,4.8,3.68,2.8,2.18,1.04,1.53,3.36,3.0,11.84,8.64,12.81,2.4,1.31,2.6,5.81,1.12,1.14,0.62,1.11,10.48,2.28,3.88,"Canterbury, United Kingdom",2.1033333333333335,2.1725,2021,
Kavala,Greece,15.58,51.93,8.31,4.15,3.64,3.31,2.03,0.58,1.36,1.29,1.64,4.3,11.61,8.66,8.74,2.33,2.56,1.74,2.16,1.01,0.88,0.99,0.91,6.49,1.81,1.56,"Kavala, Greece",2.2100000000000004,1.26,2021,
Siena,Italy,15.58,67.52,9.35,5.19,5.19,1.43,2.6,1.3,1.42,2.49,2.1,2.7,22.07,11.43,22.07,2.6,1.95,3.05,2.8,2.11,2.04,1.28,0.33,6.23,1.4,1.77,"Siena, Italy",2.533333333333333,2.0575,2021,
Pordenone,Italy,15.58,62.32,8.52,4.93,4.15,1.65,2.68,1.17,1.11,1.77,1.92,3.49,9.61,9.69,17.66,1.8,1.84,2.43,2.82,1.32,1.55,1.35,0.4,5.19,1.27,2.26,"Pordenone, Italy",2.0233333333333334,1.7599999999999998,2021,
Vernon,Canada,13.4,55.84,7.45,4.47,5.77,3.07,1.65,1.33,2.24,1.81,4.64,2.57,9.12,8.56,11.35,3.17,1.32,3.0,2.85,1.6,1.2,1.68,1.49,11.17,2.61,5.96,"Vernon, Canada",2.4966666666666666,1.8325,2021,
Charlottetown,Canada,18.61,65.15,7.45,4.47,4.84,2.9,1.73,1.59,2.12,2.29,3.86,3.35,10.05,11.12,13.06,6.68,1.43,6.95,5.51,3.04,3.56,2.97,1.5,12.66,2.42,2.83,"Charlottetown, Canada",5.02,3.7700000000000005,2021,
Haugesund,Norway,15.37,80.43,12.06,8.6,8.55,4.32,3.34,2.87,1.9,2.36,1.84,3.65,10.55,12.66,28.33,2.45,2.0,2.65,2.6,1.68,2.18,2.16,1.62,14.58,3.41,3.31,"Haugesund, Norway",2.3666666666666667,2.1550000000000002,2021,
Lagos,Portugal,8.31,62.32,7.27,2.6,2.6,1.77,1.77,1.42,1.19,1.22,1.53,2.25,7.24,5.27,10.12,2.14,1.54,1.82,1.51,1.15,1.32,1.17,1.43,3.12,0.96,3.28,"Lagos, Portugal",1.8333333333333333,1.2875,2021,
Porto Calvo,Brazil,4.66,25.16,5.59,1.86,2.24,1.69,1.03,0.69,0.83,1.14,0.91,1.73,8.9,4.03,8.32,1.34,1.01,0.91,1.65,0.82,0.8,0.69,0.61,5.59,1.21,2.01,"Porto Calvo, Brazil",1.0866666666666667,0.9899999999999999,2021,
Fairfax,United States,19.38,75.0,10.0,6.0,7.62,5.06,2.42,1.78,1.5,4.35,4.28,2.55,12.81,9.85,14.37,4.82,1.49,4.27,4.81,3.13,2.49,1.49,1.89,12.0,3.21,4.12,"Fairfax, United States",3.526666666666667,2.98,2021,
Kalach-na-Donu,Russia,8.52,49.13,6.14,1.31,2.29,2.5,1.01,0.51,1.21,0.73,1.57,1.76,10.23,5.1,9.12,1.68,1.51,1.87,2.66,1.03,0.72,1.46,0.7,9.83,1.13,2.09,"Kalach-na-Donu, Russia",1.6866666666666668,1.4675,2021,
Seoul,South Korea,7.68,53.78,6.15,3.07,4.99,3.93,1.48,0.79,2.2,2.85,3.53,4.04,11.54,10.58,41.61,6.77,3.71,6.5,6.19,3.84,2.92,2.45,1.05,15.36,2.12,2.36,"Seoul, South Korea",5.66,3.85,2022,1.0
Shanghai,China,5.69,39.86,5.69,1.14,4.27,3.98,0.53,0.33,2.74,2.61,1.22,2.22,18.35,4.86,13.12,2.26,1.6,2.19,1.53,0.84,1.04,0.83,0.64,14.24,0.94,1.97,"Shanghai, China",2.016666667,1.06,2022,1.0
Guangzhou,China,4.13,28.47,4.98,0.85,1.71,3.54,0.44,0.33,1.91,1.63,1.03,1.71,9.0,3.77,11.75,2.02,1.44,1.82,1.31,0.74,1.0,0.49,0.51,11.39,0.95,2.26,"Guangzhou, China",1.76,0.885,2022,1.0
Mumbai,India,3.68,18.42,3.68,2.46,4.3,2.48,0.48,0.19,0.75,0.5,0.83,0.95,5.88,3.69,5.95,2.09,0.67,1.34,0.59,0.44,0.44,0.65,0.35,9.83,2.27,3.61,"Mumbai, India",1.366666667,0.53,2022,1.0
Delhi,India,4.91,22.11,4.3,1.84,3.68,1.77,0.49,0.19,0.73,0.5,0.85,1.02,4.36,3.81,5.71,1.79,0.75,1.03,0.61,0.37,0.41,0.7,0.36,9.83,1.54,2.49,"Delhi, India",1.19,0.5225,2022,1.0
Dhaka,Bangladesh,1.95,11.71,4.88,5.85,5.12,1.95,0.29,0.16,0.83,0.67,0.69,1.32,7.21,3.07,7.19,2.38,1.04,2.18,0.96,0.28,0.49,0.41,0.27,5.36,2.4,6.3,"Dhaka, Bangladesh",1.866666667,0.535,2022,1.0
Osaka,Japan,7.45,48.39,5.36,3.35,3.72,3.28,1.09,0.81,1.41,1.47,4.92,1.9,11.09,6.93,22.46,4.09,1.85,3.87,6.34,3.31,2.01,1.53,0.98,7.45,2.54,2.48,"Osaka, Japan",3.27,3.2975,2022,1.0
Jakarta,Indonesia,2.59,22.69,3.57,2.06,3.24,2.23,0.61,0.27,1.3,1.2,0.83,1.71,6.9,3.52,8.49,2.99,1.6,2.13,1.3,1.42,2.05,1.13,0.44,22.69,2.17,3.24,"Jakarta, Indonesia",2.24,1.475,2022,1.0
Shenzhen,China,4.27,28.47,4.98,1.14,3.99,4.2,0.47,0.34,2.23,2.4,1.0,2.13,13.67,4.37,15.56,1.97,1.47,1.81,1.45,1.06,1.16,0.9,0.55,14.16,0.88,1.49,"Shenzhen, China",1.75,1.1425,2022,1.0
Bangkok,Thailand,2.74,28.8,5.76,2.3,4.32,2.13,0.51,0.27,1.65,1.91,1.45,2.0,16.97,3.08,12.16,2.88,1.41,1.93,1.53,1.52,1.27,1.19,0.47,20.16,1.65,2.84,"Bangkok, Thailand",2.073333333,1.3775,2022,1.0
Karachi,Pakistan,2.24,11.18,3.8,2.12,2.68,1.41,0.29,0.19,0.8,0.46,1.09,1.14,4.88,2.83,4.02,1.09,0.56,0.83,0.74,0.31,0.46,0.32,0.35,1.79,1.41,1.85,"Karachi, Pakistan",0.826666667,0.4575,2022,1.0
Cairo,Egypt,4.07,20.35,4.07,1.63,2.73,1.75,0.25,0.15,0.82,0.52,0.73,1.29,3.28,3.96,7.62,1.18,0.66,0.42,0.31,0.34,0.27,0.24,0.22,8.14,1.29,1.99,"Cairo, Egypt",0.753333333,0.29,2022,1.0
Sao Paulo,Brazil,7.66,38.32,6.71,2.3,3.45,1.57,1.12,0.79,1.29,1.56,1.22,2.28,10.27,4.57,9.71,2.12,1.48,1.07,1.92,1.32,1.31,0.91,0.55,7.66,1.35,2.86,"Sao Paulo, Brazil",1.556666667,1.365,2022,1.0
Mexico City,Mexico,7.74,39.97,6.7,2.58,4.13,2.71,1.07,0.76,1.32,2.02,1.41,1.97,7.74,6.32,9.43,2.48,1.3,1.45,1.5,1.57,1.44,0.99,0.83,11.35,1.42,2.55,"Mexico City, Mexico",1.743333333,1.375,2022,1.0
Lagos,Nigeria,3.71,45.03,6.75,1.13,1.8,3.4,0.4,0.26,3.59,1.37,2.84,2.15,4.88,5.5,5.91,3.15,2.03,1.76,2.77,2.77,1.75,1.34,0.55,6.75,0.99,1.54,"Lagos, Nigeria",2.313333333,2.1575,2022,1.0
Kolkata,India,2.0,14.74,3.68,2.21,3.68,1.64,0.36,0.15,0.63,0.37,0.69,0.92,5.04,3.05,6.38,1.88,0.65,1.19,0.64,0.4,0.44,0.37,0.34,9.52,1.77,2.96,"Kolkata, India",1.24,0.4625,2022,1.0
Beijing,China,4.27,31.32,5.69,1.42,4.13,4.62,0.52,0.42,2.01,2.17,1.25,1.94,13.04,3.95,12.8,2.03,1.89,1.98,1.48,0.88,1.0,0.88,0.64,12.81,1.03,2.44,"Beijing, China",1.966666667,1.06,2022,1.0
Moscow,Russia,12.8,64.0,6.4,4.0,4.0,3.34,1.28,0.72,1.41,0.83,1.87,1.84,13.14,5.61,11.19,1.68,1.31,1.81,2.86,0.8,0.73,1.47,0.85,11.2,1.16,2.44,"Moscow, Russia",1.6,1.465,2022,1.0
Tokyo,Japan,7.45,44.67,5.21,4.47,4.47,3.42,1.26,0.85,1.44,1.59,3.41,1.93,15.22,8.3,23.42,7.23,3.18,5.95,5.33,4.45,4.18,1.49,0.99,8.93,2.15,2.82,"Tokyo, Japan",5.453333333,3.8625,2022,1.0
Manila,Philippines,3.59,28.71,3.59,1.26,1.93,2.97,0.99,0.51,1.67,1.24,0.9,1.77,5.33,4.21,6.96,2.7,1.4,3.04,1.45,1.74,1.75,1.35,0.65,8.97,1.18,1.62,"Manila, Philippines",2.38,1.5725,2022,1.0
New York,United States,25.0,100.0,10.0,7.2,10.0,5.38,2.72,2.32,1.26,4.11,8.03,3.93,16.85,17.88,20.57,5.62,2.59,4.98,6.22,4.04,3.73,2.68,2.51,17.99,3.15,3.95,"New York, United States",4.396666667,4.1675,2022,1.0
Istanbul,Turkey,5.37,24.15,4.29,2.68,3.22,1.98,0.9,0.32,1.03,0.5,1.67,1.81,6.32,4.18,9.08,0.86,1.72,1.09,0.89,0.61,0.53,0.64,0.31,8.05,1.68,2.27,"Istanbul, Turkey",1.223333333,0.6675,2022,1.0
Buenos Aires,Argentina,6.12,25.0,5.0,1.92,2.42,1.78,1.04,0.81,0.77,1.29,0.95,1.37,6.54,4.0,6.42,1.36,1.2,0.73,1.41,0.64,0.73,1.06,0.73,3.73,1.22,1.95,"Buenos Aires, Argentina",1.096666667,0.96,2022,1.0
Bangalore,India,3.07,18.42,4.3,2.21,3.68,2.09,0.46,0.18,0.58,0.57,0.76,0.98,6.54,3.83,6.61,2.38,0.72,1.16,0.46,0.44,0.44,0.57,0.36,11.05,1.91,3.5,"Bangalore, India",1.42,0.4775,2022,1.0
Lahore,Pakistan,1.56,17.88,3.58,3.13,4.02,1.81,0.23,0.17,0.69,0.67,0.96,1.05,5.72,2.83,3.88,1.2,0.68,0.71,0.67,0.33,0.39,0.27,0.31,0.45,0.83,1.05,"Lahore, Pakistan",0.863333333,0.415,2022,1.0
Chennai,India,2.18,12.28,4.91,2.21,4.3,1.63,0.44,0.18,0.61,0.5,0.68,0.85,6.15,3.19,5.8,2.5,0.78,1.35,0.51,0.5,0.45,0.63,0.37,5.53,1.81,3.12,"Chennai, India",1.543333333,0.5225,2022,1.0
Chengdu,China,2.85,24.77,5.05,1.14,2.85,3.75,0.42,0.29,1.97,1.46,1.17,2.15,14.8,6.16,13.33,2.01,1.43,1.39,1.16,0.77,0.83,0.48,0.62,7.83,1.06,1.88,"Chengdu, China",1.61,0.81,2022,1.0
London,United Kingdom,18.45,79.95,8.61,7.26,6.15,4.14,2.12,1.69,1.35,1.25,2.15,2.93,7.92,8.19,12.3,2.59,1.46,2.25,2.87,1.41,1.43,1.04,1.38,11.07,2.38,2.87,"London, United Kingdom",2.1,1.6875,2022,1.0
Wuhan,China,3.56,27.05,5.69,1.54,2.14,2.86,0.43,0.23,1.72,1.78,0.9,1.73,12.81,4.24,13.53,1.78,1.49,1.57,1.28,0.87,1.21,0.52,0.59,14.24,0.79,1.76,"Wuhan, China",1.613333333,0.97,2022,1.0
Hyderabad,India,2.46,12.28,5.53,1.84,3.68,2.01,0.45,0.18,0.74,0.56,0.68,0.89,5.79,3.56,6.79,2.66,0.71,1.31,0.54,0.45,0.41,0.72,0.37,11.67,1.9,3.14,"Hyderabad, India",1.56,0.53,2022,1.0
Tehran,Iran,4.0,30.0,4.98,0.8,1.94,1.51,0.93,0.77,0.81,0.53,3.72,1.3,4.05,3.19,8.11,1.12,1.38,1.11,0.66,0.6,0.5,0.51,0.3,1.0,0.5,1.27,"Tehran, Iran",1.203333333,0.5675,2022,1.0
Paris,France,15.81,63.22,10.54,7.38,6.32,3.89,2.88,2.44,1.24,2.11,2.29,3.67,17.51,13.01,23.13,3.18,2.13,2.85,3.88,2.3,2.26,1.53,0.85,8.43,2.11,3.03,"Paris, France",2.72,2.4925,2022,1.0
Nagoya,Japan,7.45,37.23,5.21,2.98,3.72,2.65,1.03,0.78,1.51,1.37,3.72,1.81,15.49,9.06,18.61,6.2,2.29,3.96,6.33,4.09,2.26,1.41,0.81,7.45,1.92,1.69,"Nagoya, Japan",4.15,3.5225,2022,1.0
Ho Chi Minh City,Vietnam,2.04,24.48,4.08,1.02,2.04,2.02,0.55,0.3,1.49,1.17,0.93,1.52,10.24,3.42,11.65,3.26,1.05,1.37,1.2,1.31,1.44,1.02,0.51,8.16,0.87,1.47,"Ho Chi Minh City, Vietnam",1.893333333,1.2425,2022,1.0
Los Angeles,United States,20.0,88.59,10.0,8.0,8.0,4.94,2.7,2.3,1.14,3.8,5.64,3.84,12.63,11.58,17.89,4.15,1.78,3.46,4.23,2.76,2.22,1.79,2.0,12.0,2.56,2.95,"Los Angeles, United States",3.13,2.75,2022,1.0
Lima,Peru,3.92,22.19,5.22,2.09,3.92,2.66,0.86,0.57,1.22,1.83,1.11,1.81,6.89,4.99,8.2,1.54,1.02,0.93,0.98,0.74,0.89,0.72,0.72,7.83,1.6,2.33,"Lima, Peru",1.163333333,0.8325,2022,1.0
